Entrada,Salida,Tiempo total,Entrada Micro,Salida Micro,Tiempo total micro,Dia,Inicio Cola,Fin Cola,Tiempo Cola
01:01:40 PM,01:08:02 PM,00:06:22,12:59:49 PM,01:03:04 PM,00:03:15,14/03/2022,01:01:40 PM,01:05:35 PM,00:03:55
01:03:24 PM,01:05:12 PM,00:01:48,01:03:08 PM,01:05:15 PM,00:02:07,14/03/2022,01:03:42 PM,01:08:02 PM,00:04:20
01:03:42 PM,01:11:09 PM,00:07:27,01:03:13 PM,01:04:35 PM,00:01:22,14/03/2022,01:07:22 PM,01:10:21 PM,00:02:59
01:07:22 PM,01:14:14 PM,00:06:52,01:04:45 PM,01:08:43 PM,00:03:58,14/03/2022,01:08:40 PM,01:12:01 PM,00:03:21
01:08:40 PM,01:15:45 PM,00:07:05,01:05:39 PM,01:07:47 PM,00:02:08,14/03/2022,01:08:40 PM,01:09:10 PM,00:00:30
01:08:40 PM,01:15:49 PM,00:07:09,01:07:56 PM,01:10:09 PM,00:02:13,14/03/2022,,,
,,,01:08:48 PM,01:13:20 PM,00:04:32,14/03/2022,,,
,,,01:10:25 PM,01:13:56 PM,00:03:31,14/03/2022,,,
,,,01:13:36 PM,01:15:40 PM,00:02:04,14/03/2022,,,
12:57:00 PM,12:59:00 PM,00:02:00,12:57:50 PM,12:59:59 PM,00:02:09,16/03/2022,01:00:00 PM,01:04:30 PM,00:04:30
12:57:00 PM,01:00:00 PM,00:03:00,12:58:00 PM,12:59:52 PM,00:01:52,16/03/2022,01:00:00 PM,01:01:35 PM,00:01:35
01:00:00 PM,01:04:30 PM,00:04:30,01:01:13 PM,01:05:00 PM,00:03:47,16/03/2022,01:01:00 PM,01:05:00 PM,00:04:00
01:02:00 PM,01:05:30 PM,00:03:30,01:02:57 PM,01:05:56 PM,00:02:59,16/03/2022,01:01:00 PM,01:02:18 PM,00:01:18
01:05:00 PM,01:08:30 PM,00:03:30,01:06:42 PM,01:09:22 PM,00:02:40,16/03/2022,01:03:02 PM,01:06:43 PM,00:03:41
01:05:00 PM,01:13:40 PM,00:08:40,01:08:40 PM,01:10:31 PM,00:01:51,16/03/2022,01:05:50 PM,01:10:37 PM,00:04:47
01:07:00 PM,01:10:00 PM,00:03:00,01:10:03 PM,01:13:38 PM,00:03:35,16/03/2022,01:08:05 PM,01:09:13 PM,00:01:08
01:07:40 PM,01:14:00 PM,00:06:20,01:10:55 PM,01:13:10 PM,00:02:15,16/03/2022,01:05:50 PM,01:08:35 PM,00:02:45
01:09:00 PM,01:13:00 PM,00:04:00,01:13:10 PM,01:15:02 PM,00:01:52,16/03/2022,01:09:01 PM,01:12:05 PM,00:03:04
01:09:00 PM,01:16:00 PM,00:07:00,01:13:38 PM,01:16:51 PM,00:03:13,16/03/2022,01:10:19 PM,01:15:20 PM,00:05:01
01:10:00 PM,01:17:00 PM,00:07:00,01:15:37 PM,01:17:30 PM,00:01:53,16/03/2022,01:10:19 PM,01:16:15 PM,00:05:56
01:15:00 PM,01:20:00 PM,00:05:00,01:17:05 PM,01:19:06 PM,00:02:01,16/03/2022,,,
,,,01:17:49 PM,01:20:28 PM,00:02:39,,,,
,,,01:19:20 PM,01:21:48 PM,00:02:28,,,,
,,,01:20:55 PM,01:23:20 PM,00:02:25,,,,
,,,01:22:00 PM,01:24:40 PM,00:02:40,,,,
,,,01:23:28 PM,01:27:25 PM,00:03:57,,,,
,,,01:24:52 PM,01:26:46 PM,00:01:54,,,,
